code,processed_code
"moves is rock, paper, scissors
game is computer
human is player1
print game moves at random
human is ask Enter a move",% is % % % % is % % is % print % % % % % is ask % % % 
"moves is rock, paper, scissors
game is computer
human is player1
print game moves at random
print human moves at random",% is % % % % is % % is % print % % % % print % % % % 
"moves is rock, paper, scissors
game is rock, paper, scissors
human is rock, paper, scissors
print game moves at random
print human moves at random",% is % % % % is % % % % is % % % print % % % % print % % % % 
"moves is rock, paper, scissors
print game moves at random
print human moves at random",% is % % % print % % % % print % % % % 
"player is ask enter player:
move is paper
",% is ask % % % is % 
"moves is rock
game is player1
humnan is player2
human is ask Enter move!
print game moves at random
print human moves
",% is % % is % % is % % is ask % % print % % % % print % % 
"moves is rock, paper, scissors
game is player1
humnan is player2
human is ask Enter move!
print game moves at random
print human moves
",% is % % % % is % % is % % is ask % % print % % % % print % % 
"moves is rock, paper, scissors
game is player1
humnan is player2
print game moves at random
human is ask Enter move!
print human moves
",% is % % % % is % % is % print % % % % % is ask % % print % % 
"moves is rock, paper, scissors
game is player1
humnan is player2
print game moves at random
human is ask Enter move!
",% is % % % % is % % is % print % % % % % is ask % % 
"move is Rock, Paper, Scissors
player1 is Rock
player2 is Paper
if player1 is Rock:
   if player2 is Paper:
        print ' player1 wins'",% is % % % % is % % is % % % is % % % is % print % % % 
"player1 is rock, paper, scissors
player2 is rock, paper, scissors
if player1 is rock:
    if player2 is paper:
        print ' player1 wins'",% is % % % % is % % % % % is % % % is % print % % % 
"player1 is rock, paper, scissors
player2 is rock, paper, scissors
if player1 is rock:
    if player2 is paper:
        print ''",% is % % % % is % % % % % is % % % is % print % 
"dank1 is ask what bevrages
dank2 is ask what bevrages
print 'great ill be back with one ' dank1 ' and one ' dank2 ' 5 minutes later'

",% is ask % % % is ask % % print % % % % % % % % % % % % % % % % % 
"place is ask the name of the place our at
print 'welcome to ' place",% is ask % % % % % % % print % % % % 
"worker is ask name of the worker
print 'my name is ' worker ' and ill be serving you tonight'
",% is ask % % % % print % % is % % % % % % % % % 
"names is Shaun, Tshepo, Lesetja",% is % % % 
"names is Shaun, Tshepo, Lesetja
number is 1, 2, 3, 4, 5
print name number at random
",% is % % % % is % % % % % print % % % % 
"name is Shaun, Tshepo, Lesetja
number is 1, 2, 3, 4, 5
print name at random
print 'needs to do'
print number at random",% is % % % % is % % % % % print % % % print % % % print % % % 
"name is Shaun, Tshepo, Lesetja
number is 1, 2, 3, 4, 5
print name at random
print 'needs to do'
print number at random
print pushups",% is % % % % is % % % % % print % % % print % % % print % % % print % 
"name is Shaun, Tshepo, Lesetja
number is 1, 2, 3, 4, 5
print 'name  at random needs to do number at random pushups'",% is % % % % is % % % % % print % % % % % % % % % % 
resturant is ask what is the name of the resturant,% is ask % is % % % % % 
"name is Shaun , Tshepo , Lesetja 
number is 1 , 2 , 3 , 4 , 5 
print name at random print needs to do number at random print pushups",% is % % % % % % is % % % % % % % % % print % % % print % % % % % % print % 
"resturant is ask what is the name of the resturant
print welcome to ",% is ask % is % % % % % print % % 
"name is Shaun, Tshepo, Lesetja 
number is 1, 2, 3, 4, 5
print name at random 'needs to do' number at random print pushups",% is % % % % is % % % % % print % % % % % % % % % print % 
"name is Shaun, Tshepo, Lesetja 
number is 1, 2, 3, 4, 5
print name at random 'needs to do' number at random ",% is % % % % is % % % % % print % % % % % % % % % 
"name is Shaun , Tshepo , Lesetja 
number is 1 ,2 ,3 ,4 ,5
print name at random 'needs to do' number at random ",% is % % % % % % is % % % % % print % % % % % % % % % 
"name is Shaun , Tshepo , Lesetja 
number is 1 , 2 , 3 , 4 , 5 
print name at random 'needs to do' number at random ",% is % % % % % % is % % % % % % % % % print % % % % % % % % % 
"restaurant is ask what is your favourite restaurant
name is ask what is your name",% is ask % is % % % % is ask % is % % 
"names is Rapelang, Minky, Shaun
number is 2, 4, 6
print names at random need to do number at random pushups",% is % % % % is % % % print % % % % % % % % % % 
"names is Rapelang, Minky, Shaun
number is 2, 4, 6
print names at random needs to do 4 pushups",% is % % % % is % % % print % % % % % % % % 
"names is Rapelang, Minky, Shaun
numbers is 1, 2, 3
print names at random",% is % % % % is % % % print % % % 
"var is ask What is the time?
print time is var",% is ask % is % % print % is % 
"food is ask what would you like to eat?
if food is Pizza:
    print 'You have no class, but okay'
if food is Steak:
    print 'Excellent choice Sir'
if food is Fish:
    print 'Right away Sir'",% is ask % % % % % % % % is % print % % % % % % % % is % print % % % % % is % print % % % 
"play is ask what is your move?
move is rock , paper , scissors
programme is player1 
human is player2
print programme move at random
print human move",% is ask % is % % % is % % % % % % is % % is % print % % % % print % % 
"play is ask what is your move?
move is rock , paper , scissors
programme is player1 
human is player2
print programme move at random
print humanmove",% is ask % is % % % is % % % % % % is % % is % print % % % % print % 
"play is ask what is your move?
move is rock , paper , scissors
programme is player1 
human is player2
print programme move at random
print human move play",% is ask % is % % % is % % % % % % is % % is % print % % % % print % % % 
"play is ask what is your move?
move is rock , paper , scissors
programme is player1 
human is player2
print programme move at random
print human move at play",% is ask % is % % % is % % % % % % is % % is % print % % % % print % % % % 
"res is ask What is the name of the resturant?
print welcome to res
",% is ask % is % % % % % print % % % 
"names is Thando , Buhle , Mpho 
numbers is 7 , 5 , 3
print names at random 'needs to do' numbers at random 'push ups '  ",% is % % % % % % is % % % % % print % % % % % % % % % % % % 
"names is Thando , Buhle , Mpho 
numbers is 7 , 5 , 3
print names at random 'needs to do' numbers 'push ups '  ",% is % % % % % % is % % % % % print % % % % % % % % % % 
"names is Thando , Buhle , Mpho 
numbers is 7 , 5 , 3
print names at random 'needs to do'",% is % % % % % % is % % % % % print % % % % % % 
"names is Thando , Buhle , Mpho 
numbers is 7 , 5 , 3
print names at random ' needs to '",% is % % % % % % is % % % % % print % % % % % % % 
"move is rock , paper , scissors
programme is player1 
human is player2
print programme move at random
",% is % % % % % % is % % is % print % % % % 
"option is ask player option?
",% is ask % % 
"for i in range 1 to 3:
    print test",% % % % % % % print % 
"for i in range 1 to 3:
    for j in range 1 to 5:
        print j",% % % % % % % % % % % % % % print % 
"for i in range 1 to 3:
    for j in range 1 to 5:
        print 'we are in round'",% % % % % % % % % % % % % % print % % % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
        print 'we are in round: '",% % % % % % % % % % % % % % print % % % % % 
"for i in range 1 to 3:
    for j in range 1 to 5:
        print 'we are in round: ' i",% % % % % % % % % % % % % % print % % % % % % 
"for i in range 1 to 3:
    print 'we are in round: ' i
for j in range 1 to 5:
    print j",% % % % % % % print % % % % % % % % % % % % % print % 
"for i in range 1 to 3:
    print 'we are in round: ' i
for j in range 1 to 5:
    print 'we counr: ' j",% % % % % % % print % % % % % % % % % % % % % print % % % % 
"for i in range 1 to 3:
    print 'we are in round: ' i",% % % % % % % print % % % % % % 
