code,processed_code
"print Hallo vandaag ga jij je eigen verhaal maken!
ask Hoe heet de hoofdpersoon in jouw verhaal?
echo Op een dag liep     door het bos. 
print door het bos.",print % % % % % % % % ask % % % % % % % % % % % % % % % print % % % 
"print Heyy!
ask Hoe heet je?
echo Hallo !",print % ask % % % % % % 
print haloo welkom bij mij verhaal veel lees plezier!,print % % % % % % % % 
"print Heyy!
ask Hoe heet je?
echo Hallo
ask Wat is je lievelingskleur?
echo Leuk! De mijne is ook",print % ask % % % % % ask % is % % % % % % is % 
"ask Wat is er aan de hand?
echo het is erg gevaarlijk ",ask % is % % % % % % is % % 
"ask Wat is er aan de hand?
echo het is erg gevaarlijk dat",ask % is % % % % % % is % % % 
"ask Wat is er aan de hand?
print je moet wel oppassen.
",ask % is % % % % print % % % % 
echo hoe heten je ouders,% % % % % 
"ask Wat is er aan de hand?
print je moet wel oppassen voor dat gevaar.
ask zou je het aankunnen denk je?
echo dus jij denkt van ",ask % is % % % % print % % % % % % % ask % % % % % % % % % % % 
"ask Wat is er aan de hand?
print je moet wel oppassen voor dat gevaar.
ask zou je het aankunnen denk je?
echo dus jij denkt dat van.",ask % is % % % % print % % % % % % % ask % % % % % % % % % % % % 
"ask Hoe oud ben je?
echo Dus je bent 14 jaar oud",ask % % % % % % % % % % % 
"ask Hoe oud ben je?
echo Dus ben je ",ask % % % % % % % % 
"ask er is iets gevaarlijks aan de hand maar wat?
print je moet wel oppassen voor dat gevaar.
ask denk je dat je het gevaar aan kan?
print je gaat op pad
ask waar naartoe?
print dus daar naartoe.
print succes",ask % is % % % % % % % print % % % % % % % ask % % % % % % % % print % % % % ask % % print % % % print % 
"print Hallo vandaag ga jij je eigen verhaal maken!
ask Hoe heet de hoofdpersoon in jouw verhaal?
",print % % % % % % % % ask % % % % % % % 
"ask er is iets gevaarlijks aan de hand maar wat?
print je moet wel oppassen voor dat gevaar.
ask denk je dat je het gevaar aan kan?
print je gaat op pad
ask waar naartoe?
print dus daar naartoe.
print succes
print je bent in een gevecht met het gevaar.
ask wie denk je dat er wint?
print ok goed om te weten.
",ask % is % % % % % % % print % % % % % % % ask % % % % % % % % print % % % % ask % % print % % % print % print % % % % % % % % ask % % % % % % print % % % % % 
"print Welkom
ask Hoe heet je?",print % ask % % % 
"ask er is iets gevaarlijks aan de hand maar wat?
print je moet wel oppassen voor dat gevaar.
ask denk je dat je het gevaar aan kan?
print je gaat op pad
ask waar naartoe?
print dus daar naartoe.
print succes
ask denk je dat je het gaat halen?
print ok mooi zo
",ask % is % % % % % % % print % % % % % % % ask % % % % % % % % print % % % % ask % % print % % % print % ask % % % % % % % print % % % 
"print Heyy!
ask Hoe heet je?
echo Hallo 
ask Wat is je lievelingskleur?
",print % ask % % % % % ask % is % % 
"ask er is iets gevaarlijks aan de hand maar wat?
print je moet wel oppassen voor dat gevaar.
ask denk je dat je het gevaar aan kan?
print je gaat op pad
ask waar naartoe?
print dus daar naartoe.
print succes
ask denk je dat je het gaat halen?
print ok mooi zo
print je overleeft het.
print je krijgt een heel groot geldbedrag.
ask wat ga je er mee doen?
",ask % is % % % % % % % print % % % % % % % ask % % % % % % % % print % % % % ask % % print % % % print % ask % % % % % % % print % % % print % % % print % % % % % % ask % % % % % % 
"ask Met wie ga je op avontuur?
echo dus je gaat op avontuur met 
ask Waar wil je naar toe?
echo Jullie lopen samen naar 
print Jullie horen een stem
print Hij zegt jullie kunnen hier nooit meer weg
print alleen als je vind wat ik al heel lang kwijt bent
ask Wat is hij kwijt?
echo Wat julie moeten vinden is ",ask % % % % % % % % % % % % % ask % % % % % % % % % % print % % % % print % % % % % % % % print % % % % % % % % % % % ask % is % % % % % % % is 
"ask er is iets gevaarlijks aan de hand maar wat?
print je moet wel oppassen voor dat gevaar.
ask denk je dat je het gevaar aan kan?
print je gaat op pad
ask waar naartoe?
print dus daar naartoe.
print succes
ask denk je dat je het gaat halen?
print ok mooi zo
print je overleeft het.
print je krijgt een heel groot geldbedrag.
ask wat ga je er mee doen?
ask en vind je een goed idee om dat te doen?
print ok dan is het goed
print en je leeft nog lang en gelukkig",ask % is % % % % % % % print % % % % % % % ask % % % % % % % % print % % % % ask % % print % % % print % ask % % % % % % % print % % % print % % % print % % % % % % ask % % % % % % ask % % % % % % % % % % print % % is % % print % % % % % % % 
"print Hallo vandaag ga jij je eigen verhaal maken!
ask Hoe heet de hoofdpersoon?
echo Op een dag ging.
print poepen.
print Maar toen ging hij dood.
",print % % % % % % % % ask % % % % % % % % % print % print % % % % % 
"print hallo wereld!
ask Wat is je lievelingskleur if Groen print doorgaan if else print geen toegang",print % % ask % is % % % % print % % % print % % 
"print hallo wereld!
ask Wat is je lievelingsdier
echo dus je lievelingsdier is cat",print % % ask % is % % % % % % is % 
"print hoi ik ben loek
ask wie ben jij
echo welkom
",print % % % % ask % % % % % 
print Een meisje is heel bang,print % % is % % 
"ask de hoofdpersoon is Tobias.
echo dus de hoofdpersoon is Tobias.
",ask % % is % % % % % is % 
"ask de hoofdpersoon is Tobias.
",ask % % is % 
"ask is de hoofdpersoon Tobias?
",ask is % % % 
"ask Wie is de hoofdpersoon?
echo dus de hoofdpersoon is Tobias",ask % is % % % % % % is % 
"ask wie is de hoofdpersoon?
echo dus de hoofdpersoon is .",ask % is % % % % % % is . 
"print Ik ben MAMA
ask Wie ben ik?
echo dus ik ben mama?",print % % % ask % % % % % % % % 
